traffic_id,traffic_date,article_id,activeUsers,sessions,screenPageViews,screenPageViewsPerSession,screenPageViewsPerUser
1,2024-03-20,5553851,46804,48337,67503,1.396507851,1.442248526
2,2024-03-20,5553346,34141,35481,80998,2.282855613,2.372455406
3,2024-03-20,5552961,24514,25592,71307,2.786300406,2.908827609
4,2024-03-20,5553351,20600,21620,64484,2.982608696,3.130291262
5,2024-03-20,5554400,17597,18088,42299,2.33851172,2.403762005
6,2024-03-20,5552439,11302,13055,14295,1.094982765,1.264820386
7,2024-03-20,5553642,7320,7671,25205,3.285751532,3.443306011
8,2024-03-20,5552832,5834,6064,13447,2.217513193,2.304936579
9,2024-03-20,5552547,5170,5374,15310,2.848902121,2.96131528
10,2024-03-20,5552284,4243,4667,11658,2.497964431,2.747584256
11,2024-03-20,5554441,3940,4071,10899,2.677229182,2.766243655
12,2024-03-20,5554719,3338,3422,9335,2.727936879,2.796584781
13,2024-03-20,5552300,3270,3412,8921,2.614595545,2.728134557
14,2024-03-20,5554125,3213,3291,10857,3.298997265,3.379084967
15,2024-03-20,5553478,3098,3202,6357,1.985321674,2.051969012
16,2024-03-20,5553975,3024,3145,7205,2.290937997,2.38260582
17,2024-03-20,5555076,2763,2789,16377,5.871997132,5.927252986
18,2024-03-20,5526220,2543,2972,3584,1.205921938,1.409359025
19,2024-03-20,5553433,2276,2370,7477,3.154852321,3.285149385
20,2024-03-20,5554100,2245,2334,11668,4.999143102,5.197327394
21,2024-03-20,5554369,1994,2056,5996,2.916342412,3.007021063
22,2024-03-20,5554333,1842,1967,2124,1.07981698,1.153094463
23,2024-03-20,5553773,1727,1800,5316,2.953333333,3.078170237
24,2024-03-20,5554355,1664,1805,2559,1.417728532,1.537860577
25,2024-03-20,5554423,1648,1779,2988,1.679595278,1.813106796
26,2024-03-20,5554701,1633,1664,2747,1.650841346,1.682180037
27,2024-03-20,5554330,1627,1732,3260,1.88221709,2.003687769
28,2024-03-20,5553764,1502,1559,4625,2.966645285,3.079227696
29,2024-03-20,5554041,1496,1544,3527,2.284326425,2.357620321
30,2024-03-20,5553322,1460,1544,7917,5.127590674,5.42260274
31,2024-03-20,5552175,1366,1460,3663,2.50890411,2.681551977
32,2024-03-20,5553957,1339,1428,3605,2.524509804,2.692307692
33,2024-03-20,5552681,1282,1491,3809,2.554661301,2.971138846
34,2024-03-20,5552842,1183,1209,6467,5.349048801,5.466610313
35,2024-03-20,5554393,1177,1193,2328,1.951383068,1.977909941
36,2024-03-20,5553572,1172,1214,10794,8.891268534,9.209897611
37,2024-03-20,5553662,1172,1198,6718,5.607679466,5.732081911
38,2024-03-20,5552242,1151,1177,5860,4.978759558,5.091225022
39,2024-03-20,5552594,1141,1198,2789,2.328046745,2.444347064
40,2024-03-20,5554533,1135,1198,6070,5.066777963,5.348017621
41,2024-03-20,5554231,1073,1120,6206,5.541071429,5.783783784
42,2024-03-20,5554321,947,1010,2862,2.833663366,3.02217529
43,2024-03-20,5554167,937,978,1596,1.63190184,1.703308431
44,2024-03-20,5553854,900,931,2716,2.917293233,3.017777778
45,2024-03-20,5552343,863,916,2093,2.284934498,2.425260718
46,2024-03-20,5553453,848,916,2229,2.433406114,2.628537736
47,2024-03-20,5554408,832,879,2946,3.351535836,3.540865385
48,2024-03-20,5552415,821,879,1931,2.196814562,2.352009744
49,2024-03-20,5554465,821,821,2370,2.886723508,2.886723508
50,2024-03-20,5553953,801,811,2449,3.01972873,3.057428215
51,2024-03-20,5554621,764,790,2548,3.225316456,3.335078534
52,2024-03-20,5555306,748,764,1167,1.527486911,1.560160428
53,2024-03-20,5555272,691,706,1575,2.230878187,2.279305355
54,2024-03-20,5554585,680,743,1512,2.034993271,2.223529412
55,2024-03-20,5550977,675,696,1732,2.488505747,2.565925926
56,2024-03-20,5534985,659,685,1941,2.833576642,2.945371775
57,2024-03-20,5554426,638,659,2428,3.684370258,3.805642633
58,2024-03-20,5551194,623,675,1120,1.659259259,1.797752809
59,2024-03-20,5549137,617,628,2072,3.299363057,3.358184765
60,2024-03-20,5554287,607,617,1015,1.645056726,1.672158155
61,2024-03-20,5553427,581,607,1193,1.965403624,2.053356282
62,2024-03-20,5552634,576,581,1010,1.7383821,1.753472222
63,2024-03-20,5552856,565,570,785,1.377192982,1.389380531
64,2024-03-20,5555241,565,665,769,1.156390977,1.361061947
65,2024-03-20,5554574,544,612,958,1.565359477,1.761029412
66,2024-03-20,5553154,539,565,1465,2.592920354,2.717996289
67,2024-03-20,5553559,539,570,1345,2.359649123,2.495361781
68,2024-03-20,5552294,534,581,1162,2,2.176029963
69,2024-03-20,5554473,534,549,1428,2.601092896,2.674157303
70,2024-03-20,5554203,523,539,1601,2.970315399,3.061185468
71,2024-03-20,5541506,518,565,591,1.046017699,1.140926641
72,2024-03-20,5553141,502,528,1528,2.893939394,3.043824701
73,2024-03-20,5554750,502,513,1350,2.631578947,2.689243028
74,2024-03-20,5552933,497,518,1230,2.374517375,2.474849095
75,2024-03-20,5554226,487,497,528,1.062374245,1.084188912
76,2024-03-20,5554641,481,492,1643,3.339430894,3.415800416
77,2024-03-20,5554802,471,487,1277,2.622176591,2.711252654
78,2024-03-20,5543169,460,481,1230,2.557172557,2.673913043
79,2024-03-20,5554281,460,466,1465,3.143776824,3.184782609
80,2024-03-20,5552951,445,445,1988,4.46741573,4.46741573
81,2024-03-20,5554807,445,487,774,1.589322382,1.739325843
82,2024-03-20,5551353,440,466,1319,2.830472103,2.997727273
83,2024-03-20,5541351,434,523,612,1.170172084,1.410138249
84,2024-03-20,5554417,413,434,921,2.122119816,2.230024213
85,2024-03-20,5553537,398,413,890,2.15496368,2.236180905
86,2024-03-20,5554103,392,403,2083,5.168734491,5.31377551
87,2024-03-20,5553824,387,398,1099,2.761306533,2.839793282
88,2024-03-20,5554760,387,398,392,0.9849246231,1.012919897
89,2024-03-20,5554275,382,392,434,1.107142857,1.136125654
90,2024-03-20,5554342,382,398,413,1.037688442,1.081151832
91,2024-03-20,5548584,377,398,1146,2.879396985,3.039787798
92,2024-03-20,5552895,377,440,717,1.629545455,1.901856764
93,2024-03-20,5553464,372,419,769,1.835322196,2.067204301
94,2024-03-20,5554556,372,392,1282,3.270408163,3.446236559
95,2024-03-20,5554966,372,387,712,1.839793282,1.913978495
96,2024-03-20,5542960,366,403,466,1.156327543,1.273224044
97,2024-03-20,5553280,361,387,1083,2.798449612,3
98,2024-03-20,5553457,361,392,937,2.390306122,2.595567867
99,2024-03-20,5555006,361,372,1245,3.346774194,3.448753463
100,2024-03-20,5554608,356,361,1120,3.102493075,3.146067416
101,2024-03-20,5554962,356,372,1026,2.758064516,2.882022472
102,2024-03-20,5554485,351,361,858,2.376731302,2.444444444
103,2024-03-20,5554640,351,361,811,2.246537396,2.310541311
104,2024-03-20,5553109,340,356,1831,5.143258427,5.385294118
105,2024-03-20,5554580,340,345,910,2.637681159,2.676470588
106,2024-03-20,5554467,335,351,1046,2.98005698,3.12238806
107,2024-03-20,5555213,324,345,691,2.002898551,2.132716049
108,2024-03-20,5553472,319,345,869,2.51884058,2.724137931
109,2024-03-20,5553883,309,345,733,2.124637681,2.372168285
110,2024-03-20,5554057,309,319,607,1.902821317,1.964401294
111,2024-03-20,5554304,309,319,335,1.05015674,1.084142395
112,2024-03-20,5552278,303,403,665,1.650124069,2.194719472
113,2024-03-20,5552564,303,319,774,2.426332288,2.554455446
114,2024-03-20,5554367,298,309,628,2.03236246,2.10738255
115,2024-03-20,5551787,293,309,309,1,1.054607509
116,2024-03-20,5555082,293,330,544,1.648484848,1.85665529
117,2024-03-20,5550741,288,314,361,1.149681529,1.253472222
118,2024-03-20,5554784,288,293,680,2.320819113,2.361111111
119,2024-03-20,5555214,288,298,356,1.194630872,1.236111111
120,2024-03-20,5554169,277,303,419,1.382838284,1.512635379
